id,name,parents,children,ancestors,obsolete,format-version,data-version,property_value,ontology,xref,is_a,http://www.orpha.net/ORDO/Orphanet_410295,http://www.orpha.net/ORDO/Orphanet_317345,http://www.orpha.net/ORDO/Orphanet_317343,http://www.orpha.net/ORDO/Orphanet_327767,http://www.orpha.net/ORDO/Orphanet_317349,http://www.orpha.net/ORDO/Orphanet_317348,http://www.orpha.net/ORDO/Orphanet_410296,http://www.orpha.net/ORDO/Orphanet_317344,http://www.orpha.net/ORDO/Orphanet_465410,http://www.orpha.net/ORDO/Orphanet_317346,xref_new,icd10,mesh,meddra,umls,omim,icd11,ensembl,genatlas,hgnc,swissprot,reactome,iuphar
100016,Lissencephaly with cerebellar hypoplasia type F,377789; 557493,NA,C001; 557493; 377789; 100016,FALSE,NA,NA,NA,NA,icd10:q04.3,377789; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100019,Refractory anemia with excess blasts type 1,557494,NA,C001; 557494; 100019,FALSE,NA,NA,NA,NA,icd10:d46.2; umls:c1318550,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100020,Refractory anemia with excess blasts type 2,557494,NA,C001; 557494; 100020,FALSE,NA,NA,NA,NA,icd10:d46.2; umls:c1318551,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100021,Primary plasmacytoma of the bone,557494,NA,C001; 557494; 100021,FALSE,NA,NA,"C032 ""0.15"" xsd:float",NA,icd10:c90.3; icd11:2a83.2,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100022,Extramedullary soft tissue plasmacytoma,557494,NA,C001; 557494; 100022,FALSE,NA,NA,"C032 ""0.1"" xsd:float",NA,icd10:c90.2; icd11:2a83.2,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100024,Mu-heavy chain disease,557494,NA,C001; 557494; 100024,FALSE,NA,NA,"C024 ""35.0"" xsd:float",NA,icd10:c88.2; icd11:2a84.2; umls:c0242310,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100025,Alpha-heavy chain disease,557494,NA,C001; 557494; 100025,FALSE,NA,NA,"C024 ""400.0"" xsd:float",NA,icd10:c88.3; icd11:2a84.0; umls:c0021071,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100026,Gamma-heavy chain disease,557494,NA,C001; 557494; 100026,FALSE,NA,NA,"C024 ""120.0"" xsd:float",NA,icd10:c88.2; icd11:2a84.1; umls:c0018854,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100031,Hypoplastic amelogenesis imperfecta,557494,NA,C001; 557494; 100031,FALSE,NA,NA,NA,NA,icd10:k00.5; omim:104500; omim:104530; omim:204650; omim:301201; omim:616221; omim:616270; omim:617297; umls:c0399367,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100032,Hypocalcified amelogenesis imperfecta,557494,NA,C001; 557494; 100032,FALSE,NA,NA,NA,NA,icd10:k00.5; omim:130900; omim:616221; omim:617607; umls:c0399376,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100033,Hypomaturation amelogenesis imperfecta,557494,NA,C001; 557494; 100033,FALSE,NA,NA,NA,NA,icd10:k00.5; mesh:c536606; omim:204700; omim:301200; omim:612529; omim:613211; omim:614832; omim:615887; omim:617217; umls:c0399372,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100034,Hypomaturation-hypoplastic amelogenesis imperfecta with taurodontism,557494,NA,C001; 557494; 100034,FALSE,NA,NA,NA,NA,icd10:k00.5; omim:104510; umls:c0399373; umls:c1863012,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100035,Solitary necrotic nodule of the liver,377788; 557493,NA,C001; 557493; 377788; 100035,FALSE,NA,NA,NA,NA,icd10:d13.4,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100039,Familial pseudohyperkalemia type 1,C045,NA,C041; C042; C045; 100039,FALSE,NA,NA,NA,NA,icd10:d58.8; omim:177720,C045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100040,OBSOLETE: Familial pseudohyperkalemia type 2,C053,NA,C041; C050; C053; 100040,FALSE,NA,NA,NA,NA,NA,C053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100041,"OBSOLETE: Familial pseudohyperkalemia, Cardiff type",C053,NA,C041; C050; C053; 100041,FALSE,NA,NA,NA,NA,NA,C053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100043,Autosomal dominant intermediate Charcot-Marie-Tooth disease type A,377788; 557493,NA,C001; 557493; 377788; 100043,FALSE,NA,NA,"C024 ""20.0"" xsd:float",NA,icd10:g60.0; omim:606483; umls:c1847896,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100044,Autosomal dominant intermediate Charcot-Marie-Tooth disease type B,377788; 557493,NA,C001; 557493; 377788; 100044,FALSE,NA,NA,"C024 ""37.0"" xsd:float",NA,icd10:g60.0; omim:606482; umls:c1847902,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100045,Autosomal dominant intermediate Charcot-Marie-Tooth disease type C,377788; 557493,NA,C001; 557493; 377788; 100045,FALSE,NA,NA,"C024 ""35.0"" xsd:float",NA,icd10:g60.0; omim:608323; umls:c1842237,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100046,Autosomal dominant intermediate Charcot-Marie-Tooth disease type D,377788; 557493,NA,C001; 557493; 377788; 100046,FALSE,NA,NA,"C024 ""12.0"" xsd:float",NA,icd10:g60.0; omim:607791; umls:c1843075,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100047,Esophageal duplication cyst,377791; 557493,NA,C001; 557493; 377791; 100047,FALSE,NA,NA,NA,NA,icd10:q39.8,377791; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100048,Tubular duplication of the esophagus,377791; 557493,NA,C001; 557493; 377791; 100048,FALSE,NA,NA,NA,NA,icd10:q39.8,377791; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100049,Primary interstitial lung disease specific to childhood due to pulmonary surfactant protein anomalies,264670; 264992; 557492,NA,C001; 557492; 97955; 101944; 565779; 506207; 506222; 182095; 264656; 264665; 264670; 98053; 156610; 264992; 100049,FALSE,NA,NA,NA,NA,NA,264670; 264992; 557492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100050,Hereditary angioedema type 1,557494,NA,C001; 557494; 100050,FALSE,NA,NA,"C028 ""1.54"" xsd:float",NA,icd10:d84.1; mesh:c538577; omim:106100; umls:c0398775; umls:c2717906,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100051,Hereditary angioedema type 2,557494,NA,C001; 557494; 100051,FALSE,NA,NA,NA,NA,icd10:d84.1; omim:106100; umls:c0398776; umls:c1862892,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100054,F12-related hereditary angioedema with normal C1Inh,557494,NA,C001; 557494; 100054,FALSE,NA,NA,NA,NA,icd10:d84.1; mesh:d056828; omim:610618; umls:c1857728; umls:c1960459,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100055,Acquired angioedema type 2,557494,NA,C001; 557494; 100055,FALSE,NA,NA,NA,NA,icd10:t78.3,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100056,Acquired angioedema type 1,557494,NA,C001; 557494; 100056,FALSE,NA,NA,NA,NA,icd10:t78.3,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100057,Renin-angiotensin-aldosterone system-blocker-induced angioedema,377788; 557493,NA,C001; 557493; 377788; 100057,FALSE,NA,NA,NA,NA,icd10:t78.3; omim:300909,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100067,Waterhouse-Friderichsen syndrome,557494,NA,C001; 557494; 100067,FALSE,NA,NA,NA,NA,icd10:a39.1+; icd10:e35.1*; icd11:1c1c.1; mesh:d014884; meddra:10047847; umls:c0043068; umls:c1403891,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100069,Semantic dementia,377788; 557493,NA,C001; 557493; 377788; 100069,FALSE,NA,NA,NA,NA,icd10:g31.0; omim:172700; omim:600274; umls:c0338462,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100070,Progressive non-fluent aphasia,377788; 557493,NA,C001; 557493; 377788; 100070,FALSE,NA,NA,"C028 ""2.5"" xsd:float; C032 ""0.7"" xsd:float",NA,icd10:g31.0; mesh:d057178; meddra:10029542; omim:172700; omim:600274; omim:607485; umls:c0751706,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100071,Mosaic trisomy 3,377789; 557493,NA,C001; 557493; 377789; 100071,FALSE,NA,NA,"C024 ""6.0"" xsd:float",NA,icd10:q92.1,377789; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100072,OBSOLETE: True vascular thoracic outlet syndrome,C052,NA,C041; C050; C052; 100072,FALSE,NA,NA,NA,NA,NA,C052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100073,Neurogenic thoracic outlet syndrome,557494,NA,C001; 557494; 100073,FALSE,NA,NA,NA,NA,icd10:g54.0; umls:c0751549,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100075,Neuroendocrine tumor of stomach,377788; 557493,NA,C001; 557493; 377788; 100075,FALSE,NA,NA,"C028 ""0.5"" xsd:float; C028 ""0.7"" xsd:float; C028 ""1.7"" xsd:float; C028 ""3.2"" xsd:float",NA,icd10:c16.9,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100076,Duodenal neuroendocrine tumor,423975; 557492,NA,C001; 557492; 97935; 117569; 565779; 506207; 506216; 250908; 98057; 98059; 104011; 423793; 425368; 182130; 97978; 877; 100092; 481508; 423975; 100076,FALSE,NA,NA,NA,NA,NA,423975; 557492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100077,Jejunal neuroendocrine tumor,423975; 557492,NA,C001; 557492; 97935; 117569; 565779; 506207; 506216; 250908; 98057; 98059; 104011; 423793; 425368; 182130; 97978; 877; 100092; 481508; 423975; 100077,FALSE,NA,NA,NA,NA,NA,423975; 557492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100078,Ileal neuroendocrine tumor,377788; 557493,NA,C001; 557493; 377788; 100078,FALSE,NA,NA,NA,NA,icd10:c17.2,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100079,Neuroendocrine neoplasm of appendix,377788; 557493,NA,C001; 557493; 377788; 100079,FALSE,NA,NA,NA,NA,icd10:c18.1; icd10:d37.3; icd11:2b81.2,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100080,Neuroendocrine tumor of the colon,377788; 557493,NA,C001; 557493; 377788; 100080,FALSE,NA,NA,NA,NA,icd10:c18.8,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100081,Neuroendocrine tumor of the rectum,377788; 557493,NA,C001; 557493; 377788; 100081,FALSE,NA,NA,NA,NA,icd10:c20,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100082,Neuroendocrine tumor of anal canal,377788; 557493,NA,C001; 557493; 377788; 100082,FALSE,NA,NA,NA,NA,icd10:c21.1; icd11:2c00.2,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100083,Laryngeal neuroendocrine tumor,377788; 557493,NA,C001; 557493; 377788; 100083,FALSE,NA,NA,NA,NA,icd10:c32.1; icd10:d14.1; icd11:2f00.2,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100084,Middle ear neuroendocrine tumor,377788; 557493,NA,C001; 557493; 377788; 100084,FALSE,NA,NA,NA,NA,icd10:c30.1; icd11:2f00.0,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100085,Primary hepatic neuroendocrine carcinoma,377788; 557493,NA,C001; 557493; 377788; 100085,FALSE,NA,NA,"C032 ""0.2"" xsd:float",NA,icd10:c22.7,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100086,Gallbladder neuroendocrine tumor,377788; 557493,NA,C001; 557493; 377788; 100086,FALSE,NA,NA,NA,NA,icd10:c23,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100087,Thyroid tumor,101955; 182130; 557492,100088,C001; 557492; 97978; 101955; 250908; 98057; 182130; 100087,FALSE,NA,NA,"C032 ""3.2"" xsd:float; C032 ""5.0"" xsd:float; C032 ""5.35"" xsd:float; C032 ""5.7"" xsd:float",NA,umls:c0040136,101955; 182130; 557492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100088,Thyroid carcinoma,100087; 557492,319494,C001; 557492; 97978; 101955; 250908; 98057; 182130; 100087; 100088,FALSE,NA,NA,"C028 ""12.7"" xsd:float; C030 ""61.7"" xsd:float; C032 ""12.2"" xsd:float; C032 ""12.86"" xsd:float; C032 ""2.373"" xsd:float; C032 ""2.45"" xsd:float; C032 ""2.733"" xsd:float; C032 ""2.921"" xsd:float; C032 ""3.1"" xsd:float; C032 ""3.65"" xsd:float; C032 ""3.74"" xsd:float; C032 ""3.991"" xsd:float; C032 ""4.472"" xsd:float; C032 ""4.488"" xsd:float; C032 ""4.563"" xsd:float; C032 ""4.803"" xsd:float; C032 ""5.162"" xsd:float; C032 ""5.526"" xsd:float; C032 ""5.649"" xsd:float; C032 ""6.344"" xsd:float; C032 ""6.375"" xsd:float; C032 ""6.382"" xsd:float; C032 ""6.39"" xsd:float; C032 ""7.679"" xsd:float; C032 ""7.905"" xsd:float; C032 ""8.329"" xsd:float; C032 ""8.628"" xsd:float",NA,meddra:10007476; umls:c0549473,100087; 557492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100090,Rare parathyroid tumor,182130; 557492; 68415,2207,C001; 557492; 250908; 98057; 182130; 97978; 68415; 100090,FALSE,NA,NA,NA,NA,icd10:c75.0; icd10:d35.1; icd10:d44.2; umls:c0030521,182130; 557492; 68415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100091,Adrenal/paraganglial tumor,101954; 182130; 557492,573163,C001; 557492; 97978; 101954; 250908; 98057; 182130; 100091,FALSE,NA,NA,NA,NA,NA,101954; 182130; 557492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100092,Gastroenteropancreatic neuroendocrine neoplasm,557492; 877,481508; 506052,C001; 557492; 250908; 98057; 182130; 97978; 877; 100092,FALSE,NA,NA,NA,NA,NA,557492; 877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100093,Carcinoid syndrome,377792; 557493,NA,C001; 557493; 377792; 100093,FALSE,NA,NA,NA,NA,icd10:e34.0; icd11:5b10,377792; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100094,Multiple polyglandular tumor,101956; 182130; 183643; 271847; 557492,276161,C001; 557492; 97978; 101956; 250908; 98057; 182130; 98053; 156638; 183643; 68336; 271847; 100094,FALSE,NA,NA,NA,NA,icd10:d44.8; icd11:2f7a.0; umls:c0027662,101956; 182130; 183643; 271847; 557492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
1001,2q37 microdeletion syndrome,377789; 557493,NA,C001; 557493; 377789; 1001,FALSE,NA,NA,"C024 ""115.0"" xsd:float",NA,icd10:q93.5; mesh:c538317; omim:600430; umls:c2931817,377789; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100100,Thymic tumor,557492; 98057,3398,C001; 557492; 250908; 98057; 100100,FALSE,NA,NA,NA,NA,umls:c3714644,557492; 98057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100101,Neuroendocrine tumor with other location,557492; 877,NA,C001; 557492; 250908; 98057; 182130; 97978; 877; 100101,FALSE,NA,NA,NA,NA,NA,557492; 877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
1002,NON RARE IN EUROPE: Cluster headache,C048,NA,C041; C046; C048; 1002,FALSE,NA,NA,NA,NA,icd10:g44.0,C048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
1003,Scalp defects-postaxial polydactyly syndrome,377789; 557493,NA,C001; 557493; 377789; 1003,FALSE,NA,NA,"C024 ""2.0"" xsd:float",NA,icd10:q87.2; mesh:c536622; omim:181250; umls:c1867021,377789; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
1005,Alopecia-contractures-dwarfism-intellectual disability syndrome,377789; 557493,NA,C001; 557493; 377789; 1005,FALSE,NA,NA,"C024 ""5.0"" xsd:float",NA,icd10:q87.8; mesh:c537051; omim:203550; umls:c0795895,377789; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
1006,Alopecia antibody deficiency,377788; 557493,NA,C001; 557493; 377788; 1006,FALSE,NA,NA,"C024 ""3.0"" xsd:float",NA,icd10:d80.8,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100642,NON RARE IN EUROPE: Gonorrhea,C048,NA,C041; C046; C048; 100642,FALSE,NA,NA,NA,NA,icd10:a54.9,C048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
1008,Alopecia-epilepsy-pyorrhea-intellectual disability syndrome,377788; 557493,NA,C001; 557493; 377788; 1008,FALSE,NA,NA,"C024 ""12.0"" xsd:float",NA,icd10:q87.8; mesh:c537057; omim:104130; umls:c1863090,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100924,Porphyria due to ALA dehydratase deficiency,377788; 557493,NA,C001; 557493; 377788; 100924,FALSE,NA,NA,NA,NA,icd10:e80.2; omim:612740,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100932,OBSOLETE: Nuclear oculomotor paralysis,C051,NA,C041; C050; C051; 100932,FALSE,NA,NA,NA,NA,NA,C051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100973,FRAXE intellectual disability,377788; 557493,NA,C001; 557493; 377788; 100973,FALSE,NA,NA,NA,NA,omim:309548,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100974,FRAXF syndrome,377788; 557493,NA,C001; 557493; 377788; 100974,FALSE,NA,NA,NA,NA,NA,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100976,Bathing suit ichthyosis,377788; 557493,NA,C001; 557493; 377788; 100976,FALSE,NA,NA,"C024 ""20.0"" xsd:float",NA,icd10:q80.2; omim:242300,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100978,Cloverleaf skull-asphyxiating thoracic dysplasia syndrome,377789; 557493,NA,C001; 557493; 377789; 100978,FALSE,NA,NA,NA,NA,icd10:q87.5,377789; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100979,Autosomal dominant complex spastic paraplegia,102013; 557492,NA,C001; 557492; 98006; 182070; 98053; 71859; 183500; 685; 102013; 100979,FALSE,NA,NA,"C028 ""1.0"" xsd:float",NA,icd10:g11.4,102013; 557492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100980,Autosomal dominant pure spastic paraplegia,102012; 557492,NA,C001; 557492; 98006; 182070; 98053; 71859; 183500; 685; 102012; 100980,FALSE,NA,NA,"C028 ""0.9"" xsd:float; C028 ""4.4"" xsd:float",NA,icd10:g11.4,102012; 557492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100981,Autosomal recessive complex spastic paraplegia,102013; 557492,431320,C001; 557492; 98006; 182070; 98053; 71859; 183500; 685; 102013; 100981,FALSE,NA,NA,NA,NA,icd10:g11.4,102013; 557492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100982,Autosomal recessive pure spastic paraplegia,102012; 557492,NA,C001; 557492; 98006; 182070; 98053; 71859; 183500; 685; 102012; 100982,FALSE,NA,NA,NA,NA,icd10:g11.4,102012; 557492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100984,Autosomal dominant spastic paraplegia type 3,377788; 557493,NA,C001; 557493; 377788; 100984,FALSE,NA,NA,"C028 ""0.14"" xsd:float",NA,icd10:g11.4; mesh:c536864; omim:182600; umls:c2931355,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100985,Autosomal dominant spastic paraplegia type 4,377788; 557493,NA,C001; 557493; 377788; 100985,FALSE,NA,NA,"C028 ""0.91"" xsd:float",NA,icd10:g11.4; mesh:c536865; omim:182601; umls:c1866855,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100986,Autosomal recessive spastic paraplegia type 5A,377788; 557493,NA,C001; 557493; 377788; 100986,FALSE,NA,NA,NA,NA,icd10:g11.4; mesh:c536871; omim:270800; umls:c1849115; umls:c2931356,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
